Year,Winter,Pre-Monsoon,Monsoon,Post-Monsoon
1984,54.900001525878906,122.0999984741211,887.0999755859375,90.30000305175781
1985,32.79999923706055,117.80000305175781,830.0999755859375,159.1999969482422
1986,51.099998474121094,123.80000305175781,795.2000122070312,146.5
1987,35.400001525878906,133.3000030517578,744.2999877929688,158.10000610351562
1988,37.099998474121094,160.10000610351562,1052.699951171875,87.5
1989,29.200000762939453,115.30000305175781,887.0999755859375,87.19999694824219
1990,58.400001525878906,203.60000610351562,963.4000244140625,161.1999969482422
1991,39.70000076293945,145.5,856.4000244140625,107
1992,43,108,856,111.30000305175781
1993,41.20000076293945,132.89999389648438,885.5999755859375,132.89999389648438
1994,50.900001525878906,119.0999984741211,988.7999877929688,126.9000015258789
1995,59.099998474121094,137.6999969482422,905.5,120.80000305175781
1996,45.599998474121094,118.80000305175781,897.5999755859375,129.10000610351562
1997,24.5,123.4000015258789,870.0999755859375,166.1999969482422
1998,52.70000076293945,134.8000030517578,895.5999755859375,157.60000610351562
1999,30.200000762939453,122.0999984741211,845.5999755859375,140.60000610351562
2000,47,126.5,815,66
2001,17.399999618530273,128.39999389648438,810.5,122.4000015258789
2002,38,119.4000015258789,687.2000122070312,79.0999984741211
2003,48.20000076293945,106.5,896.9000244140625,118.19999694824219
2004,34.900001525878906,138.39999389648438,785.0999755859375,114.4000015258789
2005,76.5,129.6999969482422,871.7999877929688,135.39999389648438
2006,27.600000381469727,146.89999389648438,897.9000244140625,97.9000015258789
2007,38,117.80000305175781,966.5999755859375,86.30000305175781
2008,41.20000076293945,115.9000015258789,897.0999755859375,87.69999694824219
2009,24,95.9000015258789,709.0999755859375,136.89999389648438
2010,22.600000381469727,136.5,911.5999755859375,149.60000610351562
2011,33.29999923706055,120.0999984741211,911.0999755859375,67.0999984741211
2012,39.900001525878906,96.19999694824219,837.0999755859375,100.5999984741211
2013,50.79999923706055,110.5999984741211,943.4000244140625,147.89999389648438
2014,46.70000076293945,136.60000610351562,780.9000244140625,90.69999694824219
2015,39.5,185.60000610351562,758.2000122070312,96.80000305175781
2016,18,129.8000030517578,865.5,70.30000305175781
2017,39.5,129,845.7000122070312,112.30000305175781
2018,15.699999809265137,114.5,804,71.69999694824219
2019,52,102.0999984741211,970.7000122070312,161
2020,40.400001525878906,158.6999969482422,959.2999877929688,124.9000015258789
2021,27.899999618530273,156.10000610351562,872.2000122070312,177.39999389648438
2022,58.599998474121094,130.3000030517578,924.7999877929688,144
2023,22.299999237060547,147.8000030517578,822.2000122070312,110.80000305175781
2024,26.899999618530273,127.0999984741211,933.0999755859375,116.9000015258789
